#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2736792,89014,RES,S,1808 Navarre LN,"$500,000 ",1STORY,SFR,"2,022",4,3,1,N,N,1986,12/15/2025,2
1,2731465,89130,RES,S,5133 Burr Oak DR,"$500,000 ",2STORY,SFR,"2,525",4,3,3,N,N,1996,12/19/2025,14
1,2730573,89166,RES,S,10422 White Princess AVE,"$500,000 ",2STORY,SFR,"2,318",4,3,2,N,N,2015,11/24/2025,5
1,2729714,89141,RES,S,10645 Casa Bianca ST,"$500,000 ",2STORY,SFR,"2,967",4,4,2,N,N,2002,12/11/2025,36
1,2729681,89134,RES,S,2309 Babcock DR,"$500,000 ",2STORY,SFR,"2,080",4,3,2,Y,N,1992,12/15/2025,14
1,2726524,89148,RES,S,9611 Aberdeen Ridge CT,"$500,000 ",2STORY,SFR,"2,275",4,3,2,N,N,2015,11/12/2025,10
1,2724800,89118,RES,S,5885 Prospector TRL,"$500,000 ",1STORY,SFR,"2,224",4,3,3,N,N,1999,12/11/2025,29
1,2724030,89106,RES,S,1310 North Tonopah DR,"$500,000 ",1STORY,SFR,"2,132",4,2,2,N,N,1960,11/24/2025,10
1,2722298,89129,RES,S,10321 George Hart CT,"$500,000 ",2STORY,SFR,"2,276",4,3,2,N,N,2001,10/28/2025,5
1,2721868,89129,RES,S,3553 Unique WAY,"$500,000 ",2STORY,SFR,"2,263",4,3,2,Y,N,1995,11/26/2025,34
1,2719304,89148,RES,S,9632 Abbey Pond AVE,"$500,000 ",2STORY,SFR,"2,275",4,3,2,N,N,2016,10/22/2025,20
1,2715295,89131,RES,S,7463 Majestic Bay ST,"$500,000 ",2STORY,SFR,"2,332",4,4,3,Y,Y,2002,10/20/2025,22
1,2712391,89085,RES,S,8128 Devils Canyon ST,"$500,000 ",1STORY,SFR,"2,124",4,3,2,N,N,2007,12/5/2025,56
1,2709834,89044,RES,S,3212 Jevonda AVE,"$500,000 ",2STORY,SFR,"2,552",4,3,2,N,N,2009,11/10/2025,57
1,2709549,89166,RES,S,10376 Sadie Blake AVE,"$500,000 ",2STORY,SFR,"2,109",4,3,2,N,N,2022,1/5/2026,110
1,2703597,89103,RES,S,6880 Casa Linda DR,"$500,000 ",2STORY,SFR,"1,954",4,3,3,Y,N,1974,10/20/2025,62
1,2702834,89166,RES,S,10761 Skye Lily AVE,"$500,000 ",1STORY,SFR,"1,825",4,3,2,N,N,2020,11/26/2025,89
1,2699507,89144,RES,S,11032 Sonoma Creek CT,"$500,000 ",2STORY,SFR,"1,718",4,3,2,N,N,2000,11/4/2025,101
1,2697398,89139,RES,S,9432 Logan Ridge CT,"$500,000 ",2STORY,SFR,"2,290",4,3,2,N,N,2015,11/6/2025,93
1,2693992,89014,RES,S,1926 Navarre LN,"$500,000 ",2STORY,SFR,"2,268",4,3,2,Y,Y,1981,12/22/2025,120
1,2663285,89166,RES,S,7110 Brighton Village ST,"$500,000 ",2STORY,SFR,"2,399",4,3,2,Y,Y,2007,12/12/2025,242
