#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2745090,89021,RES,A-ER,1593 Valley Home CT,"$629,000 ",1STORY,SFR,"2,840",5,3,2,Y,N,2016,,3
1,2744034,89118,RES,A-ER,7284 Mer Soliel CT,"$625,000 ",3STORY,SFR,"3,005",5,4,2,Y,N,2018,,14
1,2743177,89084,RES,A-ER,3713 Alcantara LN,"$625,000 ",2STORY,SFR,"3,399",5,4,3,Y,Y,2006,,27
1,2741186,89149,RES,A-ER,7605 Tiny Tortoise ST,"$625,000 ",2STORY,SFR,"3,285",5,4,2,N,N,2005,,41
1,2734264,89149,RES,A-ER,8321 Mountain Heather CT,"$625,000 ",2STORY,SFR,"3,165",5,3,3,Y,Y,1999,,72
1,2726584,89129,RES,A-ER,3508 North Tenaya WAY,"$625,000 ",2STORY,SFR,"3,501",5,4,3,N,N,1989,,101
1,2725531,89149,RES,A-ER,9417 Wisdom Valley AVE,"$625,000 ",1STORY,SFR,"2,954",5,4,2,N,N,2004,,107
1,2707054,89128,RES,A-ER,8229 Aqua Spray AVE,"$625,000 ",2STORY,SFR,"3,698",5,3,2,N,N,1990,,171
1,2683687,89141,RES,A-ER,5862 Bluthe Bridge AVE,"$625,000 ",2STORY,SFR,"3,004",5,3,3,Y,N,2002,,252
1,2739191,89178,RES,A-ER,9746 Logrondo ST,"$624,999 ",2STORY,SFR,"3,132",5,3,3,N,N,2006,,21
1,2744952,89149,RES,A-ER,9725 Sandy Turtle AVE,"$624,900 ",2STORY,SFR,"2,853",5,4,3,N,N,2005,,18
1,2706916,89108,RES,A-ER,1630 Harvest Pecan CT,"$624,900 ",2STORY,SFR,"2,479",5,3,2,N,N,2019,,172
1,2729648,89148,RES,A-ER,9526 Antelope Bend CT,"$624,000 ",2STORY,SFR,"3,034",5,3,3,N,N,2002,,80
1,2685839,89128,RES,A-ER,1721 Mill Canyon DR,"$622,000 ",2STORY,SFR,"2,294",5,3,2,N,N,1995,,239
1,2739074,89149,RES,A-ER,6864 Puertollano PL,"$620,000 ",2STORY,SFR,"3,088",5,4,2,N,N,2021,,50
1,2737415,89014,RES,A-ER,2472 Marlene WAY,"$620,000 ",2STORY,SFR,"2,552",5,3,3,Y,Y,1979,,32
1,2724953,89128,RES,A-ER,8420 Haven Brook CT,"$620,000 ",2STORY,SFR,"2,451",5,3,3,Y,Y,1989,,86
1,2681810,89147,RES,A-ER,9923 Sierra Canyon WAY,"$619,999 ",2STORY,SFR,"3,064",5,4,3,Y,Y,1998,,258
1,2742475,89002,RES,A-ER,121 Pettswood DR,"$619,000 ",2STORY,SFR,"3,363",5,3,3,N,N,2006,,31
1,2706784,89166,RES,A-ER,10523 Laurel Mountain LN,"$618,900 ",2STORY,SFR,"3,419",5,3,2,N,N,2017,,174
1,2704508,89084,RES,A-ER,4432 Panoramic View AVE,"$618,000 ",2STORY,SFR,"3,068",5,3,2,N,N,2022,,173
1,2708423,89108,RES,A-ER,2913 North Michael WAY,"$617,799 ",2STORY,SFR,"2,436",5,3,2,N,N,1979,,167
1,2747113,89084,RES,A-ER,4428 Mural Glen CT,"$615,000 ",2STORY,SFR,"3,068",5,4,2,N,N,2023,,10
1,2741510,89130,RES,A-ER,4708 English Ivy CT,"$615,000 ",2STORY,SFR,"3,089",5,3,2,Y,Y,1993,,39
1,2718861,89011,RES,A-ER,656 Ripieno ST,"$615,000 ",2STORY,SFR,"2,413",5,3,2,N,N,2022,,130
1,2710062,89183,RES,A-ER,484 Fiddlehead AVE,"$615,000 ",2STORY,SFR,"3,272",5,3,3,N,N,2003,,135
1,2748858,89014,RES,A-ER,271 Sunshine Springs CT,"$610,000 ",2STORY,SFR,"2,991",5,3,3,N,N,1992,,6
1,2742972,89002,RES,A-ER,992 Perfect Berm LN,"$610,000 ",2STORY,SFR,"3,043",5,3,3,Y,N,2004,,30
1,2732777,89084,RES,A-EA,7069 Range Valley ST,"$610,000 ",2STORY,SFR,"3,068",5,3,2,N,N,2023,,77
1,2720585,89183,RES,A-ER,554 Campus Oaks CT,"$610,000 ",2STORY,SFR,"3,136",5,3,3,N,N,2002,,125
1,2725662,89130,RES,A-ER,5522 Porcupine Rim ST,"$609,999 ",2STORY,SFR,"3,248",5,3,3,N,N,2008,,104
1,2718901,89084,RES,A-ER,4424 Panoramic View AVE,"$609,900 ",2STORY,SFR,"3,068",5,3,2,N,N,2022,,131
1,2668945,89118,RES,A-ER,6516 Austin Hope AVE,"$601,000 ",3STORY,SFR,"2,751",5,4,2,N,N,2020,,301
1,2733625,89002,RES,A-ER,1629 Lone Palm CT,"$600,000 ",1STORY,SFR,"2,346",5,3,3,Y,N,2003,,52
1,2733185,89106,RES,A-ER,1989 Rubra PL,"$600,000 ",2STORY,SFR,"2,893",5,4,2,N,N,2024,,76
1,2747977,89032,RES,A-ER,3439 Midnight Shadows WAY,"$599,999 ",2STORY,SFR,"3,158",5,3,3,Y,Y,2019,,2
1,2736578,89130,RES,A-ER,6099 Ryan Ranch AVE,"$599,999 ",1STORY,SFR,"2,904",5,3,2,N,N,2014,,38
1,2733479,89104,RES,A-ER,2200 Santa Ynez DR,"$599,999 ",1STORY,SFR,"2,037",5,3,0,Y,N,1953,,75
1,2732568,89084,RES,A-ER,7054 Pink Flamingos PL,"$599,999 ",2STORY,SFR,"2,799",5,3,3,N,N,2006,,76
