#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2725221,89044,RES,S,2449 Ozark Plateau DR,"$500,000 ",1STORY,SFR,"1,712",2,2,2,N,N,2007,11/25/2025,16
1,2717933,89052,RES,S,2200 Carrizo WAY,"$499,000 ",1STORY,SFR,"1,712",2,2,2,N,N,2005,10/30/2025,35
1,2704598,89134,RES,S,9525 Salem Hills CT,"$495,000 ",1STORY,SFR,"1,520",2,2,2,N,N,1999,12/15/2025,101
1,2731024,89134,RES,S,9032 Marble DR,"$490,000 ",1STORY,SFR,"1,384",2,2,2,N,N,1988,11/24/2025,12
1,2719326,89012,RES,S,579 Carmel Mesa DR,"$490,000 ",1STORY,SFR,"1,590",2,2,2,N,N,2000,10/24/2025,9
1,2716486,89052,RES,S,2589 Shellsburg AVE,"$490,000 ",1STORY,SFR,"2,200",2,2,2,N,N,1999,10/15/2025,10
1,2716045,89052,RES,S,2095 Colvin Run DR,"$485,000 ",1STORY,SFR,"1,632",2,2,2,N,N,2002,12/12/2025,63
1,2706802,89138,RES,S,884 Carlton Terrace LN,"$485,000 ",1STORY,SFR,"1,421",2,2,2,N,N,2024,12/5/2025,88
1,2728498,89134,RES,S,3016 Lotus Hill DR,"$480,000 ",1STORY,SFR,"1,804",2,2,2,N,N,1992,11/12/2025,13
1,2710499,89012,RES,S,542 Eagle Perch PL,"$480,000 ",1STORY,SFR,"1,674",2,2,2,N,N,2000,12/11/2025,90
1,2737722,89134,RES,S,8513 Festival DR,"$478,000 ",1STORY,SFR,"1,384",2,2,2,N,N,1989,12/31/2025,16
1,2735605,89012,RES,S,224 Misty Garden ST,"$475,000 ",1STORY,SFR,"1,460",2,2,2,N,N,1997,12/30/2025,4
1,2730261,89012,RES,S,1978 High Mesa DR,"$475,000 ",1STORY,SFR,"1,558",2,2,2,N,N,1998,11/25/2025,5
1,2722151,89052,RES,S,2356 Great Elk DR,"$475,000 ",1STORY,SFR,"1,632",2,2,2,N,N,2002,1/7/2026,70
1,2724320,89052,RES,S,2703 White Sage DR,"$470,000 ",1STORY,SFR,"1,610",2,2,2,N,N,2004,12/8/2025,35
1,2718937,89044,RES,S,2313 Janesville LN,"$469,000 ",1STORY,SFR,"1,836",2,2,2,N,N,2007,12/12/2025,66
