#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2728891,89147,RES,S,3735 Emerald Bay ST,"$850,000 ",2STORY,SFR,"4,658",6,5,3,Y,Y,1994,1/6/2026,0
1,2707535,89143,RES,S,9029 Sheep Ranch CT,"$840,000 ",2STORY,SFR,"4,964",6,5,3,Y,Y,2004,12/8/2025,93
1,2713713,89146,RES,S,3381 Basque ST,"$835,000 ",2STORY,SFR,"3,227",6,3,3,Y,Y,1983,12/2/2025,25
1,2690823,89011,RES,S,453 Winter Dove AVE,"$835,000 ",2STORY,SFR,"4,443",6,5,3,N,N,2023,10/21/2025,73
1,2719313,89084,RES,S,7430 Phoenix Falls ST,"$832,000 ",2STORY,SFR,"4,443",6,5,3,Y,N,2024,12/19/2025,58
1,2732822,89139,RES,S,7609 Belgian Lion ST,"$827,000 ","2STORY,BASEMNT",SFR,"4,961",6,4,3,Y,Y,2001,12/31/2025,38
1,2726854,89011,RES,S,482 Peaceful Swan DR #632,"$825,815 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,12/10/2025,18
1,2731847,89084,RES,S,1008 Eva Creek DR #Lot 39,"$823,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,12/26/2025,8
1,2710922,89084,RES,S,7725 Serenity Bay LN #Lot 52,"$821,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,10/17/2025,5
1,2731845,89084,RES,S,1104 Eva Creek DR #Lot 43,"$819,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,12/19/2025,22
1,2722740,89084,RES,S,1116 Eva Creek DR #Lot 46,"$815,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,12/5/2025,30
1,2712435,89084,RES,S,1204 Eva Creek DR #Lot 48,"$804,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,12/18/2025,37
1,2650592,89015,RES,S,830 Park LN,"$799,000 ","1STORY,BASEMNT,2LEVEL",SFR,"4,775",6,5,3,N,Y,1994,11/10/2025,205
1,2716344,89011,RES,S,413 Canary Song DR #217,"$796,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,10/30/2025,35
1,2719226,89084,RES,S,7655 Miller Falls LN #Lot 98,"$795,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,10/29/2025,19
1,2717831,89085,RES,S,4108 Lower Saxon AVE,"$790,000 ",2STORY,SFR,"3,804",6,5,3,N,N,2006,11/13/2025,7
1,2734237,89110,RES,S,385 Lailani ST,"$780,000 ",2STORY,SFR,"3,988",6,5,3,Y,N,1980,12/23/2025,13
1,2730276,89011,RES,S,494 Pearl Swan AVE #629,"$761,990 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,12/19/2025,10
1,2721595,89011,RES,S,486 Pearl Swan AVE #631,"$761,990 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,12/15/2025,36
1,2675030,89021,RES,S,1512 Sagefield WAY,"$748,000 ",2STORY,SFR,"4,432",6,5,3,N,N,2019,11/17/2025,149
1,2714993,89084,RES,S,1212 Eva Creek DR #50,"$737,330 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,10/24/2025,20
1,2726809,89084,RES,S,1117 Eva Creek Drive LN #129,"$729,990 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,11/26/2025,5
1,2730387,89084,RES,S,7633 Gage Falls LN #116,"$709,990 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,12/12/2025,27
1,2735214,89084,RES,S,1121 Eva Creek DR #130,"$704,990 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,12/26/2025,11
1,2716261,89085,RES,S,4057 Keefe Falls CT,"$700,000 ",2STORY,SFR,"3,804",6,5,3,Y,Y,2006,10/30/2025,22
1,2718795,89129,RES,S,3916 White Castle ST,"$665,000 ",2STORY,SFR,"3,417",6,3,3,N,N,1999,12/17/2025,19
1,2699395,89123,RES,S,7736 Foredawn DR,"$660,000 ","1STORY,2STORY",SFR,"3,093",6,4,3,N,N,1994,11/24/2025,94
1,2721724,89129,RES,S,3921 White Castle ST,"$645,000 ",2STORY,SFR,"3,417",6,3,3,Y,Y,1999,12/19/2025,30
1,2683954,89031,RES,S,3217 Bonassola AVE,"$645,000 ",2STORY,SFR,"3,790",6,3,3,N,N,2006,10/14/2025,117
1,2674116,89052,RES,S,825 Happy Sparrow AVE,"$611,900 ",2STORY,SFR,"3,243",6,3,2,N,N,2001,12/24/2025,200
1,2726192,89086,RES,S,1409 Crystal Rainey AVE,"$605,000 ",2STORY,SFR,"3,804",6,5,3,Y,Y,2005,12/11/2025,34
1,2723694,89015,RES,S,330 Adufe AVE,"$600,000 ",3STORY,SFR,"2,779",6,4,2,N,N,2025,11/21/2025,18
1,2725435,89129,RES,S,4108 Dream Day ST,"$590,000 ",2STORY,SFR,"3,723",6,3,3,N,N,2004,11/14/2025,7
1,2706735,89031,RES,S,217 Delighted AVE,"$585,000 ",2STORY,SFR,"3,411",6,5,2,Y,Y,2008,12/4/2025,90
1,2726071,89148,RES,S,9821 Sedona Shrine AVE,"$555,000 ",2STORY,SFR,"3,036",6,4,3,N,N,2004,1/2/2026,47
1,2705273,89119,RES,S,944 De Met DR,"$535,000 ",1STORY,SFR,"2,132",6,3,0,Y,Y,1963,1/7/2026,107
1,2724937,89119,RES,S,5433 Latigo ST,"$530,000 ",2STORY,SFR,"2,643",6,4,2,Y,Y,1996,12/30/2025,30
1,2649621,89081,RES,S,1413 Fantastic CT,"$530,000 ",2STORY,SFR,"3,304",6,5,2,N,N,2015,12/4/2025,196
1,2641043,89015,RES,S,633 North Water ST,"$529,900 ",3STORY,SFR,"2,779",6,4,2,N,N,2025,11/6/2025,279
1,2730819,89131,RES,S,7416 Alpine Ridge ST,"$505,000 ",2STORY,SFR,"2,680",6,4,2,N,N,1996,1/7/2026,12
1,2688401,89084,RES,S,1317 Hopespring Loop AVE,"$500,000 ",2STORY,SFR,"2,072",6,3,2,Y,N,2018,11/17/2025,127
1,2699772,89040,RES,S,244 West Perkins AVE,"$477,000 ",2STORY,SFR,"2,842",6,4,0,N,N,1969,11/21/2025,96
1,2727716,89031,RES,S,1540 Mesa Blanca WAY,"$445,000 ",2STORY,SFR,"2,929",6,3,3,N,N,1991,11/7/2025,3
1,2720909,89104,RES,S,1401 East Oakey BLVD,"$375,000 ",1STORY,SFR,"1,783",6,3,0,N,N,1952,1/6/2026,52
1,2680649,89104,RES,S,1708 Weeping Willow LN,"$365,000 ",1STORY,SFR,"1,579",6,4,0,N,N,1955,10/20/2025,72
1,2701369,89115,RES,S,4586 El Tovar AVE,"$357,000 ",1STORY,SFR,"1,494",6,2,0,N,N,1971,12/30/2025,68
1,2703200,89101,RES,S,1101 North 21st ST,"$310,000 ",2STORY,SFR,"2,110",6,3,0,N,N,1962,11/26/2025,1
