#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2725304,89113,RES,A-ER,7094 Bold Rock AVE,"$850,000 ",2STORY,SFR,"3,000",6,4,2,N,N,2022,,105
1,2746975,89143,RES,A-ER,8901 Goldstone AVE,"$839,900 ",2STORY,SFR,"4,964",6,5,3,N,N,2001,,10
1,2747896,89123,RES,A-ER,9378 Chateau St Jean DR,"$839,000 ",2STORY,SFR,"3,096",6,4,3,Y,N,1999,,7
1,2735596,89166,RES,A-ER,10291 Timberline Valley Ave AVE,"$835,000 ",2STORY,SFR,"3,606",6,5,2,N,N,2020,,66
1,2720903,89147,RES,A-ER,3774 Emerald Bay CIR,"$830,000 ",2STORY,SFR,"4,658",6,5,3,N,N,1994,,122
1,2716464,89084,RES,A-ER,7847 Skyler Falls LN,"$829,900 ",2STORY,SFR,"4,443",6,5,3,N,N,2024,,142
1,2726344,89052,RES,A-ER,512 First Light ST,"$825,000 ",2STORY,SFR,"3,052",6,4,3,Y,Y,1998,,107
1,2746497,89011,RES,A-ER,446 Winter Dove AVE,"$824,990 ",2STORY,SFR,"4,443",6,5,3,N,N,2024,,13
1,2740211,89110,RES,A-ER,6659 Weather View DR,"$824,000 ",2STORY,SFR,"4,550",6,5,3,Y,Y,2000,,42
1,2740016,89113,RES,A-ER,7230 Estonian PL,"$820,000 ",2STORY,SFR,"3,877",6,4,3,N,N,2009,,46
1,2745849,89084,RES,A-ER,7621 Serenity Bay LN #Lot 2,"$805,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,,15
1,2723381,89002,RES,A-ER,96 Cricklewood AVE,"$799,999 ",2STORY,SFR,"3,747",6,3,3,Y,Y,2006,,113
1,2744778,89084,RES,A-ER,7650 Miller Falls LN #Lot 115,"$799,990 ",2STORY,SFR,"4,425",6,5,3,N,N,2025,,19
1,2744061,89149,RES,A-ER,9713 University Ridge AVE,"$799,500 ",2STORY,SFR,"3,807",6,5,3,N,N,2016,,20
1,2749989,89178,RES,A-ER,9339 Desert Heat AVE,"$799,000 ",2STORY,SFR,"4,265",6,5,4,N,N,2006,,0
1,2722846,89074,RES,A-ER,420 Rhythm ST,"$778,000 ",2STORY,SFR,"3,189",6,3,4,Y,Y,1997,,116
1,2732322,89052,RES,A-ER,815 Happy Sparrow AVE,"$775,000 ",2STORY,SFR,"3,243",6,3,2,Y,Y,2001,,77
1,2684853,89084,RES,A-ER,7855 Skyler Falls LN,"$775,000 ",2STORY,SFR,"4,443",6,5,3,N,N,2024,,248
1,2658624,89148,RES,A-ER,10134 Reflection Brook AVE,"$774,900 ",2STORY,SFR,"3,574",6,4,3,N,N,2003,,332
1,2733463,89011,RES,A-ER,433 Canary Song DR,"$767,990 ",2STORY,SFR,"3,782",6,4,3,N,N,2024,,73
1,2736805,89002,RES,A-ER,65 Pangloss ST,"$750,000 ",2STORY,SFR,"4,374",6,4,3,N,N,2007,,62
1,2749582,89044,RES,A-ER,12756 Battista LN,"$749,999 ",2STORY,SFR,"2,647",6,3,2,N,N,2021,,1
1,2740945,89074,RES,A-ER,425 Rhythm ST,"$749,000 ",2STORY,SFR,"3,189",6,3,3,Y,Y,1997,,37
1,2747021,89011,RES,A-ER,501 Diamond Swan AVE #616,"$746,490 ",2STORY,SFR,"3,765",6,4,3,N,N,2025,,11
1,2747083,89074,RES,A-ER,6 Stone Cress DR,"$740,000 ",2STORY,SFR,"3,063",6,3,3,Y,Y,1988,,11
1,2688838,89084,RES,A-ER,1777 Gentle Brook ST,"$719,000 ",2STORY,SFR,"3,939",6,4,3,N,N,2010,,234
1,2705787,89129,RES,A-ER,7504 Heather Knoll CIR,"$699,999 ",2STORY,SFR,"3,828",6,3,3,Y,N,1993,,171
1,2697184,89002,RES,A-ER,780 Vortex AVE,"$699,900 ",2STORY,SFR,"2,605",6,3,2,Y,N,2001,,205
1,2742671,89119,RES,A-ER,5551 Corral CIR,"$695,000 ",1STORY,SFR,"1,914",6,3,0,Y,Y,1972,,34
1,2747731,89074,RES,A-ER,2316 Thayer AVE,"$690,000 ",2STORY,SFR,"3,316",6,4,3,Y,Y,1996,,10
1,2676048,89031,RES,A-ER,1003 Dover Glen DR,"$664,900 ",2STORY,SFR,"2,931",6,3,4,Y,N,1997,,277
1,2733808,89032,RES,A-ER,3930 Burma RD,"$659,900 ",2STORY,SFR,"3,652",6,4,3,Y,Y,2008,,75
1,2745234,89110,RES,A-ER,1437 Blazing Sand ST,"$659,000 ",2STORY,SFR,"4,082",6,4,2,N,Y,1996,,4
1,2742559,89032,RES,A-ER,3921 Ravens CT,"$649,000 ",2STORY,SFR,"3,799",6,5,3,Y,N,2007,,34
1,2744544,89123,RES,A-ER,1846 Autumn Gold AVE,"$630,000 ",2STORY,SFR,"3,050",6,3,3,N,N,1996,,20
1,2747599,89032,RES,A-ER,418 Finch Ridge AVE,"$624,900 ",2STORY,SFR,"3,018",6,5,3,N,N,2002,,9
1,2718010,89130,RES,A-ER,6620 Gray Juniper AVE,"$619,978 ",2STORY,SFR,"3,248",6,4,3,N,N,2008,,134
1,2735734,89130,RES,A-ER,5424 Goldbrush ST,"$615,000 ",2STORY,SFR,"2,965",6,4,3,N,N,1995,,66
1,2727422,89110,RES,A-ER,6289 Cyclone AVE,"$610,000 ",2STORY,SFR,"3,010",6,3,3,N,N,2005,,100
1,2740367,89139,RES,A-ER,7868 Salt Spray CT,"$590,000 ",2STORY,SFR,"3,296",6,3,3,N,N,2001,,43
1,2724969,89002,RES,A-ER,70 Blaven DR,"$589,990 ",2STORY,SFR,"2,605",6,3,2,N,N,2003,,108
1,2718854,89086,RES,A-ER,1509 Peyton Stewart CT,"$579,000 ",2STORY,SFR,"3,799",6,5,3,N,N,2005,,132
1,2748422,89146,RES,A-ER,6209 Peppermill DR,"$570,000 ","2STORY,TRILEVL",SFR,"2,567",6,3,1,Y,Y,1980,,4
1,2749578,89021,RES,A-ER,3765 Berkeley ST,"$562,000 ","1STORY,BASEMNT",SFR,"3,224",6,3,2,Y,Y,1988,,2
1,2722872,89121,RES,A-ER,4356 Sabadell ST,"$549,900 ",2STORY,SFR,"3,206",6,3,0,Y,Y,1977,,115
1,2747820,89121,RES,A-ER,4461 Greenhill DR,"$549,888 ",1STORY,SFR,"2,232",6,3,0,Y,Y,1971,,9
1,2746751,89107,RES,A-ER,6336 Fargo AVE,"$545,000 ",2STORY,SFR,"3,152",6,3,3,N,N,1970,,12
1,2730972,89104,RES,A-ER,4510 East Cleveland AVE,"$490,000 ",1STORY,SFR,"2,079",6,2,2,N,N,1998,,73
1,2723211,89104,RES,A-ER,4214 East Baltimore AVE,"$469,900 ",1STORY,SFR,"2,196",6,3,0,N,N,1980,,113
1,2747710,89121,RES,A-ER,3610 Valencia ST,"$445,000 ",1STORY,SFR,"2,840",6,3,0,N,N,1970,,9
1,2743708,89101,RES,A-ER,255 South 17th ST,"$420,000 ",1STORY,SFR,"1,669",6,3,0,N,N,1942,,28
1,2732348,89101,RES,A-ER,700 North 14th ST,"$400,000 ",1STORY,SFR,"1,752",6,2,0,N,N,1956,,80
1,2716910,89030,RES,A-ER,1117 Cold Harbor DR,"$400,000 ",1STORY,SFR,"1,740",6,4,0,N,N,1970,,128
1,2733173,89121,RES,A-ER,4060 Balboa AVE,"$399,998 ",1STORY,SFR,"2,082",6,3,0,N,N,1964,,77
1,2729413,89110,RES,A-ER,54 Del Amo DR,"$399,500 ",1STORY,SFR,"1,476",6,4,0,N,N,1970,,76
1,2740524,89122,RES,A-ER,5230 New Bedford CIR,"$390,000 ",1STORY,SFR,"1,600",6,4,0,N,N,1972,,44
1,2747248,89115,RES,A-ER,4219 Studio ST,"$360,000 ",1STORY,SFR,"1,260",6,2,0,N,N,1980,,10
