#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2748670,89014,RES,A-ER,2423 Vista Colina ST,"$500,000 ",1STORY,SFR,"1,830",4,2,2,Y,N,1978,,6
1,2748144,89014,RES,A-ER,933 Sitting Bull DR,"$500,000 ",2STORY,SFR,"2,042",4,3,2,Y,N,1993,,8
1,2745657,89084,RES,A-ER,7124 SAYONARA VISTA ST,"$500,000 ",2STORY,SFR,"2,264",4,4,2,N,N,2021,,16
1,2744482,89005,RES,A-ER,605 L AVE,"$500,000 ",1STORY,SFR,"1,746",4,2,0,N,N,1934,,13
1,2740036,89141,RES,A-ER,9841 Fox Estate ST,"$500,000 ",3STORY,SFR,"2,667",4,3,2,N,N,2021,,40
1,2738178,89121,RES,A-ER,4042 East Avonwood AVE,"$500,000 ",2STORY,SFR,"1,854",4,3,2,Y,N,1973,,54
1,2737830,89141,RES,A-ER,5100 Ivy Creek CT,"$500,000 ",2STORY,SFR,"1,978",4,3,2,N,Y,2005,,58
1,2734378,89142,RES,A-ER,6094 Bing Cherry DR,"$500,000 ",2STORY,SFR,"2,007",4,3,2,Y,N,1993,,72
1,2722242,89048,RES,A-ER,1250 Cavalry ST,"$500,000 ",1STORY,SFR,"3,191",4,3,3,Y,Y,2002,,119
1,2746955,89129,RES,A-ER,7628 Zermatt AVE,"$499,999 ",2STORY,SFR,"2,304",4,3,2,N,N,2004,,11
1,2746796,89002,RES,A-ER,1305 Paseo Del Oso LN,"$499,999 ",1STORY,SFR,"1,824",4,2,2,N,N,2019,,13
1,2743618,89149,RES,A-ER,7869 Marbledoe ST,"$499,999 ",2STORY,SFR,"1,776",4,3,2,Y,Y,2005,,20
1,2737047,89166,RES,A-ER,10202 Handline Chute ST,"$499,999 ",2STORY,SFR,"2,095",4,3,2,N,N,2023,,49
1,2732862,89081,RES,A-EA,1809 Lucky Wish AVE,"$499,999 ",2STORY,SFR,"2,370",4,3,2,N,N,2020,,77
1,2731540,89147,RES,A-ER,4631 San Vito ST,"$499,999 ",2STORY,SFR,"2,053",4,3,2,N,N,2001,,84
1,2730429,89014,RES,A-ER,1070 Fish Pond AVE,"$499,999 ",2STORY,SFR,"2,258",4,3,2,N,N,2015,,92
1,2712031,89084,RES,A-ER,6724 Towerstone ST,"$499,999 ",2STORY,SFR,"2,436",4,3,3,N,N,2017,,125
1,2710829,89139,RES,A-ER,8882 Lake Myers CT,"$499,990 ",2STORY,SFR,"2,034",4,3,2,N,N,2016,,160
1,2748368,89122,RES,A-ER,4810 Palacio CT,"$499,988 ",1STORY,SFR,"1,438",4,2,2,N,Y,1979,,7
1,2744479,89084,RES,A-ER,1025 Reisa Falls DR #Lot 91,"$499,960 ",1STORY,SFR,"1,839",4,2,2,N,N,2025,,20
1,2744375,89108,RES,A-ER,912 Ironwood DR,"$499,950 ",1STORY,SFR,"2,738",4,3,0,Y,N,1971,,9
1,2748268,89139,RES,A-ER,9662 Monarch Grove ST,"$499,900 ",2STORY,SFR,"2,024",4,3,2,N,N,2018,,7
1,2745785,89148,RES,A-ER,9086 Nostrand AVE,"$499,900 ",2STORY,SFR,"2,079",4,3,2,N,N,2024,,13
1,2741816,89141,RES,A-ER,6486 Robusta CT,"$499,900 ",2STORY,SFR,"2,039",4,3,2,N,N,2006,,31
1,2731991,89123,RES,A-ER,7573 Costanoa ST,"$499,900 ",2STORY,SFR,"1,786",4,3,2,N,N,2001,,82
1,2724648,89086,RES,A-ER,1227 Great Hollow AVE,"$499,900 ",2STORY,SFR,"2,114",4,3,2,N,N,2020,,114
1,2715066,89031,RES,A-ER,5738 Bear Springs ST,"$499,900 ",2STORY,SFR,"2,403",4,3,2,N,N,2002,,143
1,2715054,89149,RES,A-ER,9033 Savvy Seam CT,"$499,900 ",2STORY,SFR,"1,827",4,3,2,N,N,2015,,143
1,2712177,89134,RES,A-ER,9532 Amber Valley LN,"$499,900 ",2STORY,SFR,"2,080",4,3,2,N,N,1992,,154
1,2700379,89031,RES,A-ER,5236 Intermission CT,"$499,900 ",1STORY,SFR,"2,140",4,2,3,N,N,1995,,185
1,2688384,89031,RES,A-ER,3021 New Journey WAY,"$499,900 ",2STORY,SFR,"2,153",4,3,2,N,N,2001,,235
1,2676051,89178,RES,A-ER,8768 Charm Canyon AVE,"$499,900 ",2STORY,SFR,"1,686",4,3,2,N,N,2007,,277
1,2669740,89031,RES,A-ER,5213 Castle Butte CT,"$499,900 ",2STORY,SFR,"2,211",4,3,2,N,N,2002,,297
1,2669463,89018,RES,A-ER,664 Sky RD,"$499,900 ",1STORY,SFR,"2,836",4,3,6,Y,N,1965,,296
1,2739937,89044,RES,A-ER,2488 Palizzi CT,"$499,750 ",2STORY,SFR,"2,044",4,3,2,N,N,2025,,42
1,2749856,89014,RES,A-ER,1211 Evening Canyon AVE,"$499,000 ",1STORY,SFR,"1,920",4,2,3,N,N,1997,,0
1,2748906,89015,RES,A-ER,923 Highland Trails AVE,"$499,000 ",1STORY,SFR,"1,616",4,2,3,N,N,1994,,5
1,2747311,89147,RES,A-ER,4067 Arrowood DR,"$499,000 ",2STORY,SFR,"1,977",4,3,2,Y,N,1979,,10
1,2745980,89108,RES,A-ER,2337 North Michael WAY,"$499,000 ",1STORY,SFR,"2,166",4,2,0,Y,N,1964,,14
1,2745415,89120,RES,A-ER,5769 Larkdale ST,"$499,000 ",2STORY,SFR,"2,441",4,3,3,N,N,2003,,16
1,2744937,89108,RES,A-ER,2129 North Michael WAY,"$499,000 ",1STORY,SFR,"2,192",4,2,0,Y,N,1964,,17
1,2744099,89121,RES,A-ER,3961 Acapulco AVE,"$499,000 ",1STORY,SFR,"1,974",4,2,2,Y,N,1971,,20
1,2743911,89014,RES,A-ER,3150 White Rose WAY,"$499,000 ",2STORY,SFR,"1,878",4,3,2,Y,N,1986,,18
1,2742505,89074,RES,A-ER,1104 Broomfield DR,"$499,000 ",2STORY,SFR,"1,738",4,3,3,N,N,1997,,13
1,2741784,89129,RES,A-ER,7504 Grenfell DR,"$499,000 ",1STORY,SFR,"1,888",4,2,2,N,N,1996,,37
1,2739642,89183,RES,A-ER,1551 Echo Falls AVE,"$499,000 ",2STORY,SFR,"2,259",4,3,2,N,N,2000,,49
1,2739528,89103,RES,A-ER,5817 West Cherokee AVE,"$499,000 ",2STORY,SFR,"2,141",4,3,2,Y,Y,1979,,48
1,2735179,89110,RES,A-ER,6042 Thorne Bay CT,"$499,000 ",2STORY,SFR,"2,380",4,3,2,N,N,2000,,65
1,2733905,89141,RES,A-ER,10326 Arville Springs CT,"$499,000 ",2STORY,SFR,"1,721",4,3,2,N,N,2022,,75
1,2733486,89117,RES,A-ER,9325 Aston Martin DR,"$499,000 ",2STORY,SFR,"2,052",4,3,3,N,N,1993,,76
1,2730725,89005,RES,A-ER,894 Dianne DR,"$499,000 ",2STORY,SFR,"1,861",4,2,2,Y,Y,1976,,83
1,2727142,89148,RES,A-ER,9580 Magnificent AVE,"$499,000 ",2STORY,SFR,"1,952",4,3,2,N,N,2003,,93
1,2718333,89014,RES,A-ER,1834 Paprika WAY,"$499,000 ",2STORY,SFR,"2,022",4,3,2,N,N,1985,,121
1,2715037,89104,RES,A-ER,4324 East Saint Louis AVE,"$499,000 ",1STORY,SFR,"1,904",4,2,2,Y,N,1976,,138
1,2729436,89129,RES,A-ER,4337 Governors Hill ST,"$498,200 ",2STORY,SFR,"2,207",4,3,3,N,N,2004,,63
1,2748328,89081,RES,A-ER,5340 Chase ST,"$498,000 ",2STORY,SFR,"2,371",4,3,2,N,N,2021,,7
1,2744411,89130,RES,A-ER,6046 Castle Gardens AVE,"$498,000 ",2STORY,SFR,"2,526",4,3,2,N,N,2021,,10
1,2743016,89107,RES,A-ER,808 South Mallard ST,"$498,000 ",1STORY,SFR,"1,841",4,3,0,Y,N,1963,,31
1,2741825,89141,RES,A-ER,3964 Irvin AVE,"$498,000 ",2STORY,SFR,"2,460",4,3,2,N,N,2002,,36
1,2734431,89031,RES,A-EA,17 Deseo CT,"$498,000 ",2STORY,SFR,"2,213",4,3,2,N,N,2021,,72
1,2747373,89074,RES,A-ER,1939 Guinn DR,"$497,500 ",2STORY,SFR,"2,141",4,3,3,N,N,1989,,10
1,2737603,89011,RES,A-ER,1736 Porta Volta,"$495,889 ",2STORY,SFR,"2,405",4,4,2,N,N,2025,,58
1,2749845,89002,RES,A-ER,805 Blue Springs DR,"$495,000 ",1STORY,SFR,"2,018",4,3,2,N,N,1994,,0
1,2747884,89149,RES,A-ER,6758 Barrington Hills ST,"$495,000 ",2STORY,SFR,"2,553",4,3,2,N,N,2015,,8
1,2747722,89015,RES,A-ER,601 Calcutta LN,"$495,000 ",1STORY,SFR,"2,196",4,3,0,Y,N,1970,,7
1,2747703,89048,RES,A-ER,821 South Happy LN,"$495,000 ",1STORY,SFR,"2,491",4,3,2,N,N,1998,,2
1,2744866,89128,RES,A-ER,1825 Cedar Bluffs WAY,"$495,000 ",2STORY,SFR,"2,194",4,3,2,N,N,1994,,13
1,2742565,89084,RES,A-ER,3763 Corellia,"$495,000 ",2STORY,SFR,"2,415",4,3,2,N,N,2022,,35
1,2742120,89048,RES,A-ER,3031 Pebble Beach AVE,"$495,000 ",1STORY,SFR,"2,264",4,3,2,N,N,1994,,34
1,2740401,89084,RES,A-ER,7022 Judith River ST,"$495,000 ",2STORY,SFR,"2,187",4,3,2,N,N,2022,,44
1,2726988,89011,RES,A-ER,1081 Deep Well CT,"$495,000 ",2STORY,SFR,"2,387",4,3,2,Y,Y,1997,,101
1,2724514,89166,RES,A-ER,10983 Cambridge Lakes AVE,"$495,000 ",2STORY,SFR,"1,868",4,3,2,N,N,2023,,104
1,2724233,89052,RES,A-ER,10879 Scotch Rose ST,"$495,000 ",2STORY,SFR,"2,056",4,3,2,N,N,2005,,110
1,2722894,89012,RES,A-ER,188 Timeless View CT,"$495,000 ",2STORY,SFR,"2,075",4,3,2,N,N,2004,,114
1,2722561,89129,RES,A-ER,8776 Country View AVE,"$495,000 ",2STORY,SFR,"1,909",4,3,2,N,N,1998,,118
1,2722399,89129,RES,A-ER,3472 Unique WAY,"$495,000 ",2STORY,SFR,"2,263",4,3,2,Y,N,1994,,64
1,2719445,89060,RES,A-EA,71 Union Pacific ST,"$495,000 ",1STORY,SFR,"2,833",4,2,2,N,N,1984,,128
1,2713494,89149,RES,A-ER,5721 Whale Rock ST,"$495,000 ",1STORY,SFR,"1,851",4,2,3,N,N,1995,,133
1,2707837,89147,RES,A-ER,4557 Rockland Break CT,"$495,000 ",1STORY,SFR,"1,911",4,3,2,N,N,2013,,108
1,2726339,89128,RES,A-ER,1501 Lucia DR,"$494,900 ",2STORY,SFR,"2,096",4,3,3,N,N,1991,,104
1,2642928,89113,RES,A-ER,5402 Night Swim LN,"$494,900 ",2STORY,SFR,"1,718",4,3,2,N,N,1994,,385
1,2746893,89129,RES,A-ER,3508 Tuscany Village DR,"$494,888 ",2STORY,SFR,"1,879",4,3,2,Y,N,1997,,13
1,2743686,89015,RES,A-ER,727 Triple Crown ST,"$493,000 ",1STORY,SFR,"2,023",4,2,2,N,N,1996,,24
1,2703331,89081,RES,A-ER,6216 Sterling Ranch WAY,"$493,000 ",2STORY,SFR,"2,702",4,3,3,N,N,2004,,185
1,2745681,89166,RES,A-ER,7330 Puddle Duck ST,"$492,900 ",2STORY,SFR,"2,136",4,3,2,N,N,2015,,10
1,2749691,89012,RES,A-ER,1367 Tranquil Skies AVE,"$492,500 ",2STORY,SFR,"2,197",4,3,2,N,N,2001,,0
1,2740332,89086,RES,A-ER,6929 Toll Mountain ST,"$492,000 ",2STORY,SFR,"2,114",4,3,2,N,N,2023,,44
1,2748029,89074,RES,A-ER,550 Preston Crest ST,"$491,053 ",2STORY,SFR,"1,966",4,3,2,N,N,2025,,8
1,2741781,89121,RES,A-ER,3670 Chama AVE,"$490,000 ",2STORY,SFR,"2,128",4,3,2,Y,Y,1977,,38
1,2722330,89048,RES,A-ER,3101 Pebble Beach AVE,"$490,000 ",1STORY,SFR,"1,859",4,2,2,N,N,1996,,117
1,2695851,89113,RES,A-ER,9054 Tangerine Tree CT,"$490,000 ",2STORY,SFR,"1,690",4,3,2,N,N,2023,,206
1,2680452,89084,RES,A-ER,7246 Dazzle Point ST,"$490,000 ",2STORY,SFR,"2,482",4,3,2,N,N,2019,,202
1,2565052,89120,RES,A-ER,4999 Nellis CIR,"$490,000 ",1STORY,SFR,"1,309",4,2,2,N,N,1972,,688
1,2746907,89149,RES,A-ER,5732 Desert Sky WAY,"$489,999 ",2STORY,SFR,"1,946",4,3,2,N,N,1990,,8
1,2708479,89031,RES,A-ER,3509 Red Fire AVE,"$489,999 ",1STORY,SFR,"2,086",4,2,2,N,N,2004,,163
1,2673084,89061,RES,A-ER,5688 East Badlands LN,"$489,950 ",2STORY,SFR,"2,670",4,4,2,N,N,2025,,290
1,2747058,89113,RES,A-ER,8284 Palladium ST,"$489,900 ",2STORY,SFR,"1,797",4,3,2,N,N,2022,,10
1,2731858,89032,RES,A-ER,3237 Lahontan ST,"$489,900 ",1STORY,SFR,"1,795",4,2,2,N,N,2025,,83
1,2719904,89048,RES,A-ER,3750 Pahrump Valley BLVD,"$489,900 ",1STORY,SFR,"2,448",4,2,3,N,N,2025,,118
1,2715219,89178,RES,A-ER,8749 Brilliant Star DR,"$489,900 ",2STORY,SFR,"1,893",4,3,2,N,N,2006,,141
1,2713503,89011,RES,A-ER,50 Via Montoro,"$489,900 ",2STORY,SFR,"2,222",4,3,2,N,N,2025,,139
1,2685883,89131,RES,A-ER,4821 Whisper Lake AVE,"$489,900 ",2STORY,SFR,"2,156",4,3,2,N,N,2001,,245
1,2685073,89121,RES,A-ER,4760 Woodridge RD,"$489,900 ",2STORY,SFR,"2,133",4,3,2,N,N,1975,,247
1,2731346,89117,RES,A-ER,9888 Sparrow Ridge AVE,"$489,500 ",2STORY,SFR,"2,307",4,3,2,N,N,1996,,75
1,2742944,89015,RES,A-ER,737 Thorton Beach ST,"$489,000 ",2STORY,SFR,"2,210",4,3,2,N,N,2003,,24
1,2739692,89011,RES,A-ER,672 Hitchen Post DR,"$489,000 ",1STORY,SFR,"2,127",4,3,3,N,N,1999,,48
1,2730153,89014,RES,A-ER,389 Wilford Springs ST,"$489,000 ",2STORY,SFR,"2,034",4,3,2,N,N,2017,,79
1,2723450,89103,RES,A-ER,6761 Bonillo DR,"$489,000 ",2STORY,SFR,"2,205",4,3,2,Y,Y,1977,,106
1,2735959,89113,RES,A-ER,7540 Red Plumeria AVE,"$488,900 ",2STORY,SFR,"1,796",4,3,2,N,N,2022,,64
1,2745616,89011,RES,A-ER,1064 Strada Mazoni,"$488,430 ",2STORY,SFR,"2,255",4,3,2,N,N,2025,,16
1,2714017,89119,RES,A-ER,1508 White DR,"$488,000 ",2STORY,SFR,"2,323",4,3,3,N,N,1989,,96
1,2748021,89081,RES,A-ER,6338 Selston DR,"$487,500 ",2STORY,SFR,"2,329",4,3,2,N,N,2023,,7
1,2745248,89048,RES,A-EA,4349 South Angel Falls CT,"$485,950 ",2STORY,SFR,"2,670",4,4,2,N,N,2025,,10
