#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2738583,89149,RES,A-ER,7200 Painted Shadows WAY,"$500,000 ",2STORY,SFR,"1,570",2,3,2,N,N,1988,,52
1,2723243,89134,RES,A-ER,9105 Marble DR,"$500,000 ",1STORY,SFR,"1,653",2,2,2,N,N,1988,,114
1,2717965,89081,RES,A-ER,3745 Riviera Regal AVE,"$500,000 ",1STORY,SFR,"1,932",2,2,2,N,N,2014,,131
1,2736659,89134,RES,A-ER,2409 Indigo Valley ST,"$499,999 ",1STORY,SFR,"1,360",2,2,2,N,N,1995,,63
1,2747870,89134,RES,A-ER,10009 Netherton DR,"$499,900 ",1STORY,SFR,"1,804",2,2,2,N,N,1993,,8
1,2744143,89134,RES,A-ER,10413 Broom Hill DR,"$499,900 ",1STORY,SFR,"1,843",2,2,2,N,N,1995,,21
1,2738292,89134,RES,A-ER,10717 Grand Cypress AVE,"$499,900 ",1STORY,SFR,"1,751",2,2,2,N,N,1997,,52
1,2734707,89052,RES,A-ER,2726 Peekskill AVE,"$499,900 ",1STORY,SFR,"1,705",2,2,2,N,N,2000,,66
1,2721650,89117,RES,A-ER,1424 Country Hollow DR,"$499,900 ",1STORY,SFR,"1,541",2,2,2,Y,Y,1991,,119
1,2748415,89012,RES,A-ER,438 Fountain Grove ST,"$499,000 ",1STORY,SFR,"1,495",2,2,2,N,N,1996,,6
1,2741490,89134,RES,A-ER,2925 Lotus Hill DR,"$499,000 ",1STORY,SFR,"1,804",2,2,2,N,N,1992,,38
1,2735061,89044,RES,A-ER,2167 Gunnison PL,"$499,000 ",1STORY,SFR,"1,610",2,2,2,N,N,2006,,69
1,2724358,89169,RES,A-ER,1870 East Viking RD,"$499,000 ",1STORY,SFR,"3,197",2,4,2,Y,N,1973,,106
1,2720667,89043,RES,A-ER,8320 Mother Lode RD,"$499,000 ",1STORY,SFR,"1,713",2,2,0,N,N,2018,,124
1,2719089,89134,RES,A-ER,3112 Haddon DR,"$498,500 ",1STORY,SFR,"1,695",2,2,2,Y,Y,1994,,123
1,2727015,89134,RES,A-ER,2820 Faiss DR,"$497,000 ",1STORY,SFR,"1,689",2,2,2,N,N,1995,,98
1,2739534,89012,RES,A-ER,2165 King Mesa DR,"$495,000 ",1STORY,SFR,"1,674",2,2,2,N,N,1999,,48
1,2734221,89135,RES,A-ER,10522 Big Mill CT,"$495,000 ",1STORY,SFR,"1,409",2,2,2,N,N,2000,,73
