#,,Zip Code,P. Type,Stat,Address,Current Price,BldgDes,Sub,Approx Liv Area,Beds Total,Baths Total,Garage,Pv Pool,Spa,Year Built,Actual Close Date,DOM
1,2736405,89031,RES,S,5929 White Coconut CT,"$500,000 ",1STORY,SFR,"1,646",3,2,2,Y,Y,2001,12/5/2025,2
1,2732632,89148,RES,S,7042 Seat Wall RD,"$500,000 ",2STORY,SFR,"1,996",3,3,2,N,N,2013,12/15/2025,27
1,2732292,89143,RES,S,9001 Reindeer Lake ST,"$500,000 ",2STORY,SFR,"2,316",3,3,2,N,N,2004,12/16/2025,16
1,2727920,89148,RES,S,35 Augusta Course AVE,"$500,000 ",1STORY,SFR,"1,848",3,2,2,N,Y,2011,12/11/2025,27
1,2727483,89074,RES,S,17 Sandwedge DR,"$500,000 ",1STORY,SFR,"1,832",3,2,3,N,N,1992,12/12/2025,38
1,2725880,89135,RES,S,10982 Village Ridge LN,"$500,000 ",1STORY,SFR,"1,885",3,2,2,Y,Y,2002,12/2/2025,32
1,2718939,89011,RES,S,1044 Viale Placenza PL,"$500,000 ",1STORY,SFR,"1,955",3,2,2,N,N,2007,11/14/2025,31
1,2718262,89031,RES,S,4728 Cloudy Morning ST,"$500,000 ",1STORY,SFR,"2,243",3,4,3,N,Y,2011,11/12/2025,5
1,2717384,89031,RES,S,4623 Reliant ST,"$500,000 ",2STORY,SFR,"2,099",3,3,3,Y,N,1996,10/17/2025,18
1,2716736,89129,RES,S,8017 Wedlock LN,"$500,000 ",1STORY,SFR,"1,870",3,2,2,N,N,1995,12/19/2025,53
1,2714471,89178,RES,S,6970 Motley RD,"$500,000 ",1STORY,SFR,"1,970",3,2,2,N,N,2012,11/14/2025,44
1,2709589,89141,RES,S,4244 Scarlet Cob AVE,"$500,000 ",1STORY,SFR,"1,631",3,2,2,N,N,2023,10/30/2025,25
1,2709023,89120,RES,S,3994 Ridgewood AVE,"$500,000 ",1STORY,SFR,"1,672",3,2,2,Y,Y,1977,10/30/2025,27
1,2699043,89123,RES,S,8272 Beaverbrook WAY,"$500,000 ",1STORY,SFR,"1,739",3,2,3,N,N,1993,10/14/2025,84
1,2690051,89117,RES,S,1536 Brocado LN,"$500,000 ",1STORY,SFR,"1,888",3,2,3,N,N,1989,11/21/2025,136
1,2682180,89166,RES,S,10742 Cowlite AVE,"$500,000 ",1STORY,SFR,"1,933",3,2,2,N,N,2016,11/17/2025,169
1,2730206,89147,RES,S,8151 Chambersberg ST,"$499,999 ",1STORY,SFR,"1,592",3,2,2,Y,N,1996,11/24/2025,19
1,2721958,89084,RES,S,1049 Smiths Island AVE,"$499,950 ",2STORY,SFR,"1,910",3,3,2,N,N,2025,11/19/2025,31
1,2721954,89084,RES,S,1058 Smiths Island AVE,"$499,950 ",2STORY,SFR,"1,770",3,3,2,N,N,2025,12/19/2025,66
1,2708448,89084,RES,S,1025 Smiths Island AVE,"$499,950 ",2STORY,SFR,"1,770",3,3,2,N,N,2025,10/17/2025,40
1,2728345,89012,RES,S,270 Camino Viejo ST,"$499,900 ",2STORY,SFR,"2,073",3,3,3,N,N,2000,12/18/2025,32
1,2720723,89117,RES,S,3040 Harborside DR,"$499,900 ",1STORY,SFR,"1,450",3,2,2,N,N,1985,11/25/2025,7
1,2714472,89178,RES,S,9693 West Meranto AVE,"$499,900 ",1STORY,SFR,"1,590",3,2,2,N,N,2019,11/14/2025,52
1,2710067,89011,RES,S,1125 Aspen Cliff Street,"$499,900 ",2STORY,SFR,"1,935",3,3,2,Y,Y,2012,10/9/2025,32
1,2703511,89044,RES,S,2507 Rofrano PL,"$499,750 ",2STORY,SFR,"1,830",3,3,2,N,N,2019,11/4/2025,57
